"concept","broader","enLabel","deLabel"
"http://data.europa.eu/8mn/euroscivoc/060a0080-34de-404c-b235-ee69daa67ada","http://data.europa.eu/8mn/euroscivoc/531bd18a-eedd-4345-8b2f-5464f96615f8","mining and mineral processing","Bergbau und Mineralaufbereitung"
"http://data.europa.eu/8mn/euroscivoc/06109c22-82cc-4ba3-a0cd-22e516f18f66","http://data.europa.eu/8mn/euroscivoc/53d318ec-2f1b-41e4-8317-24b35f9a9120","structural health monitoring","Zustandsüberwachung"
"http://data.europa.eu/8mn/euroscivoc/0627c833-88fb-4bbd-86b4-1eb20529fb17","http://data.europa.eu/8mn/euroscivoc/2dbfd0d0-fc0e-4426-986e-ad00a7ea7810","digital humanities","digitale Geisteswissenschaften"
"http://data.europa.eu/8mn/euroscivoc/064cf349-7c62-4025-8874-b84a6a642a12","http://data.europa.eu/8mn/euroscivoc/a9aa37ce-d8d5-4d68-9123-ffbced0aed12","cell polarity","Zellpolarität"
"http://data.europa.eu/8mn/euroscivoc/064e41de-ff96-4ad5-b27d-452957cb0c1e","http://data.europa.eu/8mn/euroscivoc/05cb3438-9392-4a86-b945-2ff240183683","spintronics","Spintronik"
"http://data.europa.eu/8mn/euroscivoc/0650224c-0f98-4b97-a6ac-f6cf00b0b636","http://data.europa.eu/8mn/euroscivoc/65f1cb53-0694-477b-9900-61ac8ad78c67","mineralogy","Mineralogie"
"http://data.europa.eu/8mn/euroscivoc/065f3ec8-0a76-4d0e-802f-94386c548c7a","http://data.europa.eu/8mn/euroscivoc/ddec251f-0c47-44a4-b95d-9d4bf11a093e","z bosons","Z-Boson"
"http://data.europa.eu/8mn/euroscivoc/06991033-2b55-479b-be18-da92f56c0eea","http://data.europa.eu/8mn/euroscivoc/c4793dfe-e80e-49dd-9fcc-a1a742de1b25","stroke","Schlaganfall"
"http://data.europa.eu/8mn/euroscivoc/06dcbaff-8c1b-4063-be98-4915afa32a58","http://data.europa.eu/8mn/euroscivoc/def14567-b1dc-4d54-b49b-3e3c59193839","base isolation","Basisisolation"
"http://data.europa.eu/8mn/euroscivoc/06ffa531-7258-46e4-ad8e-746bc1a552e1","http://data.europa.eu/8mn/euroscivoc/045d8dc4-1d48-4d18-b8ad-47e9df29100e","computed tomography","Computertomographie"
"http://data.europa.eu/8mn/euroscivoc/0726953b-c47e-4530-803f-7813a0d8cbb8","http://data.europa.eu/8mn/euroscivoc/d5bf8fe0-33cb-4355-b9a6-e759dbf567d1","neutron stars","Neutronenstern"
"http://data.europa.eu/8mn/euroscivoc/07313c54-6fb7-493e-90ce-d40c14615f6c","http://data.europa.eu/8mn/euroscivoc/a55114ca-1ad7-4c52-a261-d753fbeb3529","performing arts","Darstellende Künste"
"http://data.europa.eu/8mn/euroscivoc/07908adb-b5e2-45ff-bc5a-84f0061ee96d","http://data.europa.eu/8mn/euroscivoc/3de50dee-da1c-4791-a386-56bca24a5fed","schizophrenia","Schizophrenie"
"http://data.europa.eu/8mn/euroscivoc/07a730ab-de3a-40bd-b8a6-03b325a7d50d","http://data.europa.eu/8mn/euroscivoc/639d0234-14fd-43b2-b590-543b94c95aa2","smart sensors","intelligente Sensoren"
"http://data.europa.eu/8mn/euroscivoc/081ec693-4e8c-46cb-b4d7-4deb186b534a","http://data.europa.eu/8mn/euroscivoc/c61cf6c6-8b52-4fbb-9b30-b09659e476cf","soft matter physics","Physik der weichen Materie"
"http://data.europa.eu/8mn/euroscivoc/08c42eeb-abe1-44ee-bf30-a29f39897f40","http://data.europa.eu/8mn/euroscivoc/1198b23a-f82f-4189-8778-d9a742430a0f","telecommunications networks","Telekommunikationsnetz"
