"kind","code","name","parent"
"group","4508","Mātauranga Māori (Māori education)","45"
"group","4509","Ngā mātauranga taiao o te Māori (Māori environmental knowledges)","45"
"group","4510","Te hauora me te oranga o te Māori (Māori health and wellbeing)","45"
"group","4511","Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)","45"
"group","4512","Ngā pūtaiao Māori (Māori sciences)","45"
"group","4513","Pacific Peoples culture, language and history","45"
"group","4514","Pacific Peoples education","45"
"group","4515","Pacific Peoples environmental knowledges","45"
"group","4516","Pacific Peoples health and wellbeing","45"
"group","4517","Pacific Peoples sciences","45"
"group","4518","Pacific Peoples society and community","45"
"group","4519","Other Indigenous data, methodologies and global Indigenous studies","45"
"group","4599","Other Indigenous studies","45"
"group","4601","Applied computing","46"
"group","4602","Artificial intelligence","46"
"group","4603","Computer vision and multimedia computation","46"
"group","4604","Cybersecurity and privacy","46"
"group","4605","Data management and data science","46"
"group","4606","Distributed computing and systems software","46"
"group","4607","Graphics, augmented reality and games","46"
"group","4608","Human-centred computing","46"
"group","4609","Information systems","46"
"group","4610","Library and information studies","46"
"group","4611","Machine learning","46"
"group","4612","Software engineering","46"
"group","4613","Theory of computation","46"
"group","4699","Other information and computing sciences","46"
"group","4701","Communication and media studies","47"
"group","4702","Cultural studies","47"
"group","4703","Language studies","47"
"group","4704","Linguistics","47"
"group","4705","Literary studies","47"
"group","4799","Other language, communication and culture","47"
"group","4801","Commercial law","48"
"group","4802","Environmental and resources law","48"
"group","4803","International and comparative law","48"
"group","4804","Law in context","48"
"group","4805","Legal systems","48"
"group","4806","Private law and civil obligations","48"
"group","4807","Public law","48"
"group","4899","Other law and legal studies","48"
"group","4901","Applied mathematics","49"
"group","4902","Mathematical physics","49"
"group","4903","Numerical and computational mathematics","49"
"group","4904","Pure mathematics","49"
"group","4905","Statistics","49"
"group","4999","Other mathematical sciences","49"
"group","5001","Applied ethics","50"
"group","5002","History and philosophy of specific fields","50"
"group","5003","Philosophy","50"
"group","5004","Religious studies","50"
"group","5005","Theology","50"
"group","5099","Other philosophy and religious studies","50"
"group","5101","Astronomical sciences","51"
"group","5102","Atomic, molecular and optical physics","51"
"group","5103","Classical physics","51"
"group","5104","Condensed matter physics","51"
"group","5105","Medical and biological physics","51"
"group","5106","Nuclear and plasma physics","51"
"group","5107","Particle and high energy physics","51"
"group","5108","Quantum physics","51"
"group","5109","Space sciences","51"
"group","5110","Synchrotrons and accelerators","51"
"group","5199","Other physical sciences","51"
"group","5201","Applied and developmental psychology","52"
"group","5202","Biological psychology","52"
"group","5203","Clinical and health psychology","52"
"group","5204","Cognitive and computational psychology","52"
"group","5205","Social and personality psychology","52"
"group","5299","Other psychology","52"
"field","300101","Agricultural biotechnology diagnostics (incl. biosensors)","3001"
"field","300102","Agricultural marine biotechnology","3001"
"field","300103","Agricultural molecular engineering of nucleic acids and proteins","3001"
"field","300104","Genetically modified animals","3001"
"field","300105","Genetically modified field crops and pasture","3001"
"field","300106","Genetically modified horticulture plants","3001"
"field","300107","Genetically modified trees","3001"
"field","300108","Livestock cloning","3001"
"field","300109","Non-genetically modified uses of biotechnology","3001"
"field","300110","Transgenesis","3001"
"field","300199","Agricultural biotechnology not elsewhere classified","3001"
"field","300201","Agricultural hydrology","3002"
"field","300202","Agricultural land management","3002"
"field","300203","Agricultural land planning","3002"
"field","300204","Agricultural management of nutrients","3002"
"field","300205","Agricultural production systems simulation","3002"
"field","300206","Agricultural spatial analysis and modelling","3002"
"field","300207","Agricultural systems analysis and modelling","3002"
"field","300208","Farm management, rural management and agribusiness","3002"
"field","300209","Germplasm management","3002"
"field","300210","Sustainable agricultural development","3002"
"field","300299","Agriculture, land and farm management not elsewhere classified","3002"
"field","300301","Animal growth and development","3003"
"field","300302","Animal management","3003"
"field","300303","Animal nutrition","3003"
"field","300304","Animal protection (incl. pests and pathogens)","3003"
"field","300305","Animal reproduction and breeding","3003"
"field","300306","Animal welfare","3003"
"field","300307","Environmental studies in animal production","3003"
"field","300399","Animal production not elsewhere classified","3003"
"field","300401","Agrochemicals and biocides (incl. application)","3004"
"field","300402","Agro-ecosystem function and prediction","3004"
"field","300403","Agronomy","3004"
"field","300404","Crop and pasture biochemistry and physiology","3004"
"field","300405","Crop and pasture biomass and bioproducts","3004"
"field","300406","Crop and pasture improvement (incl. selection and breeding)","3004"
"field","300407","Crop and pasture nutrition","3004"
"field","300408","Crop and pasture post harvest technologies (incl. transportation and storage)","3004"
"field","300409","Crop and pasture protection (incl. pests, diseases and weeds)","3004"
"field","300410","Crop and pasture waste water use","3004"
"field","300411","Fertilisers (incl. application)","3004"
"field","300412","Organic and low chemical input crop production","3004"
"field","300413","Pollination biology and systems","3004"
"field","300499","Crop and pasture production not elsewhere classified","3004"
"field","300501","Aquaculture","3005"
"field","300502","Aquaculture and fisheries stock assessment","3005"
"field","300503","Fish pests and diseases","3005"
"field","300504","Fish physiology and genetics","3005"
"field","300505","Fisheries management","3005"
"field","300506","Post-harvest fisheries technologies (incl. transportation)","3005"
"field","300599","Fisheries sciences not elsewhere classified","3005"
"field","300601","Beverage chemistry and beverage sensory science","3006"
"field","300602","Food chemistry and food sensory science","3006"
"field","300603","Food nutritional balance","3006"
"field","300604","Food packaging, preservation and processing","3006"
"field","300605","Food safety, traceability, certification and authenticity","3006"
"field","300606","Food sustainability","3006"
"field","300607","Food technology","3006"
"field","300699","Food sciences not elsewhere classified","3006"
"field","300701","Agroforestry","3007"
"field","300702","Forest biodiversity","3007"
"field","300703","Forest ecosystems","3007"
"field","300704","Forest health and pathology","3007"
"field","300705","Forestry biomass and bioproducts","3007"
"field","300706","Forestry fire management","3007"
"field","300707","Forestry management and environment","3007"
"field","300708","Forestry product quality assessment","3007"
"field","300709","Tree improvement (incl. selection and breeding)","3007"
"field","300710","Tree nutrition and physiology","3007"
"field","300711","Wood fibre processing","3007"
"field","300712","Wood processing","3007"
"field","300799","Forestry sciences not elsewhere classified","3007"
"field","300801","Field organic and low chemical input horticulture","3008"
"field","300802","Horticultural crop growth and development","3008"
"field","300803","Horticultural crop improvement (incl. selection and breeding)","3008"
"field","300804","Horticultural crop protection (incl. pests, diseases and weeds)","3008"
"field","300805","Oenology and viticulture","3008"
"field","300806","Post harvest horticultural technologies (incl. transportation and storage)","3008"
"field","300899","Horticultural production not elsewhere classified","3008"
"field","300901","Veterinary anaesthesiology and intensive care","3009"
"field","300902","Veterinary anatomy and physiology","3009"
"field","300903","Veterinary bacteriology","3009"
"field","300904","Veterinary diagnosis and diagnostics","3009"
"field","300905","Veterinary epidemiology","3009"
"field","300906","Veterinary immunology","3009"
"field","300907","Veterinary medicine (excl. urology)","3009"
"field","300908","Veterinary mycology","3009"
"field","300909","Veterinary parasitology","3009"
"field","300910","Veterinary pathology","3009"
"field","300911","Veterinary pharmacology","3009"
"field","300912","Veterinary surgery","3009"
"field","300913","Veterinary urology","3009"
"field","300914","Veterinary virology","3009"
"field","300999","Veterinary sciences not elsewhere classified","3009"
"field","309999","Other agricultural, veterinary and food sciences not elsewhere classified","3099"
"field","310101","Analytical biochemistry","3101"
"field","310102","Cell development, proliferation and death","3101"
"field","310103","Cell metabolism","3101"
"field","310104","Cell neurochemistry","3101"
"field","310105","Cellular interactions (incl. adhesion, matrix, cell wall)","3101"
"field","310106","Enzymes","3101"
"field","310107","Glycobiology","3101"
"field","310108","Protein trafficking","3101"
"field","310109","Proteomics and intermolecular interactions (excl. medical proteomics)","3101"
"field","310110","Receptors and membrane biology","3101"
"field","310111","Signal transduction","3101"
"field","310112","Structural biology (incl. macromolecular modelling)","3101"
"field","310113","Synthetic biology","3101"
"field","310114","Systems biology","3101"
"field","310199","Biochemistry and cell biology not elsewhere classified","3101"
"field","310201","Bioinformatic methods development","3102"
"field","310202","Biological network analysis","3102"
"field","310203","Computational ecology and phylogenetics","3102"
"field","310204","Genomics and transcriptomics","3102"
"field","310205","Proteomics and metabolomics","3102"
"field","310206","Sequence analysis","3102"
"field","310207","Statistical and quantitative genetics","3102"
"field","310208","Translational and applied bioinformatics","3102"
"field","310299","Bioinformatics and computational biology not elsewhere classified","3102"
"field","310301","Behavioural ecology","3103"
"field","310302","Community ecology (excl. invasive species ecology)","3103"
"field","310303","Ecological physiology","3103"
"field","310304","Freshwater ecology","3103"
"field","310305","Marine and estuarine ecology (incl. marine ichthyology)","3103"
"field","310306","Palaeoecology","3103"
"field","310307","Population ecology","3103"
"field","310308","Terrestrial ecology","3103"
"field","310399","Ecology not elsewhere classified","3103"
"field","310401","Animal systematics and taxonomy","3104"
"field","310402","Biogeography and phylogeography","3104"
"field","310403","Biological adaptation","3104"
"field","310404","Evolution of developmental systems","3104"
"field","310405","Evolutionary ecology","3104"
"field","310406","Evolutionary impacts of climate change","3104"
"field","310407","Host-parasite interactions","3104"
"field","310408","Life histories","3104"
"field","310409","Microbial taxonomy","3104"
"field","310410","Phylogeny and comparative analysis","3104"
"field","310411","Plant and fungus systematics and taxonomy","3104"
"field","310412","Speciation and extinction","3104"
"field","310499","Evolutionary biology not elsewhere classified","3104"
"field","310501","Anthropological genetics","3105"
"field","310502","Cell and nuclear division","3105"
"field","310503","Developmental genetics (incl. sex determination)","3105"
"field","310504","Epigenetics (incl. genome methylation and epigenomics)","3105"
"field","310505","Gene expression (incl. microarray and other genome-wide approaches)","3105"
"field","310506","Gene mapping","3105"
"field","310507","Genetic immunology","3105"
"field","310508","Genome structure and regulation","3105"
"field","310509","Genomics","3105"
"field","310510","Molecular evolution","3105"
"field","310511","Neurogenetics","3105"
"field","310599","Genetics not elsewhere classified","3105"
"field","310601","Biocatalysis and enzyme technology","3106"
"field","310602","Bioprocessing, bioproduction and bioproducts","3106"
"field","310603","Fermentation","3106"
"field","310604","Industrial biotechnology diagnostics (incl. biosensors)","3106"
"field","310605","Industrial microbiology (incl. biofeedstocks)","3106"
"field","310606","Industrial molecular engineering of nucleic acids and proteins","3106"
"field","310607","Nanobiotechnology","3106"
"field","310699","Industrial biotechnology not elsewhere classified","3106"
"field","310701","Bacteriology","3107"
"field","310702","Infectious agents","3107"
"field","310703","Microbial ecology","3107"
"field","310704","Microbial genetics","3107"
"field","310705","Mycology","3107"
"field","310706","Virology","3107"
"field","310799","Microbiology not elsewhere classified","3107"
"field","310801","Phycology (incl. marine grasses)","3108"
"field","310802","Plant biochemistry","3108"
"field","310803","Plant cell and molecular biology","3108"
"field","310804","Plant developmental and reproductive biology","3108"
"field","310805","Plant pathology","3108"
"field","310806","Plant physiology","3108"
"field","310899","Plant biology not elsewhere classified","3108"
"field","310901","Animal behaviour","3109"
"field","310902","Animal cell and molecular biology","3109"
"field","310903","Animal developmental and reproductive biology","3109"
"field","310904","Animal diet and nutrition","3109"
"field","310905","Animal immunology","3109"
"field","310906","Animal neurobiology","3109"
"field","310907","Animal physiological ecology","3109"
"field","310908","Animal physiology - biophysics","3109"
"field","310909","Animal physiology - cell","3109"
"field","310910","Animal physiology - systems","3109"
"field","310911","Animal structure and function","3109"
"field","310912","Comparative physiology","3109"
"field","310913","Invertebrate biology","3109"
"field","310914","Vertebrate biology","3109"
"field","310999","Zoology not elsewhere classified","3109"
"field","319901","Forensic biology","3199"
"field","319902","Global change biology","3199"
"field","319999","Other biological sciences not elsewhere classified","3199"
"field","320101","Cardiology (incl. cardiovascular diseases)","3201"
"field","320102","Haematology","3201"
"field","320103","Respiratory diseases","3201"
"field","320199","Cardiovascular medicine and haematology not elsewhere classified","3201"
"field","320201","Anaesthesiology","3202"
"field","320202","Clinical chemistry (incl. diagnostics)","3202"
"field","320203","Clinical microbiology","3202"
"field","320204","Clinimetrics","3202"
"field","320205","Dermatology","3202"
"field","320206","Diagnostic radiography","3202"
"field","320207","Emergency medicine","3202"
"field","320208","Endocrinology","3202"
"field","320209","Gastroenterology and hepatology","3202"
"field","320210","Geriatrics and gerontology","3202"
"field","320211","Infectious diseases","3202"
"field","320212","Intensive care","3202"
"field","320213","Medical genetics (excl. cancer genetics)","3202"
"field","320214","Nephrology and urology","3202"
"field","320215","Nuclear medicine","3202"
"field","320216","Orthopaedics","3202"
"field","320217","Otorhinolaryngology","3202"
"field","320218","Pain","3202"
"field","320219","Paramedicine","3202"
"field","320220","Pathology (excl. oral pathology)","3202"
"field","320221","Psychiatry (incl. psychotherapy)","3202"
"field","320222","Radiology and organ imaging","3202"
"field","320223","Rheumatology and arthritis","3202"
"field","320224","Rural clinical health","3202"
"field","320225","Sports medicine","3202"
"field","320226","Surgery","3202"
"field","320227","Venereology","3202"
"field","320299","Clinical sciences not elsewhere classified","3202"
"field","320301","Craniofacial biology","3203"
"field","320302","Dental materials and equipment","3203"
"field","320303","Dental therapeutics, pharmacology and toxicology","3203"
"field","320304","Endodontics","3203"
"field","320305","Oral and maxillofacial surgery","3203"
"field","320306","Oral implantology","3203"
"field","320307","Oral medicine and pathology","3203"
"field","320308","Orthodontics and dentofacial orthopaedics","3203"
"field","320309","Paedodontics","3203"
"field","320310","Periodontics","3203"
"field","320311","Prosthodontics","3203"
"field","320312","Special needs dentistry","3203"
"field","320399","Dentistry not elsewhere classified","3203"
"field","320401","Allergy","3204"
"field","320402","Applied immunology (incl. antibody engineering, xenotransplantation and t-cell therapies)","3204"
"field","320403","Autoimmunity","3204"
"field","320404","Cellular immunology","3204"
"field","320405","Humoural immunology and immunochemistry","3204"
"field","320406","Immunogenetics (incl. genetic immunology)","3204"
"field","320407","Innate immunity","3204"
"field","320408","Transplantation immunology","3204"
"field","320409","Tumour immunology","3204"
"field","320499","Immunology not elsewhere classified","3204"
"field","320501","Medical biochemistry - amino acids and metabolites","3205"
"field","320502","Medical biochemistry - carbohydrates","3205"
"field","320503","Medical biochemistry - inorganic elements and compounds","3205"
"field","320504","Medical biochemistry - lipids","3205"
"field","320505","Medical biochemistry - nucleic acids","3205"
"field","320506","Medical biochemistry - proteins and peptides (incl. medical proteomics)","3205"
"field","320507","Metabolic medicine","3205"
"field","320599","Medical biochemistry and metabolomics not elsewhere classified","3205"
"field","320601","Gene and molecular therapy","3206"
"field","320602","Medical biotechnology diagnostics (incl. biosensors)","3206"
"field","320603","Medical molecular engineering of nucleic acids and proteins","3206"
"field","320604","Nanomedicine","3206"
"field","320605","Nanotoxicology, health and safety","3206"
"field","320606","Regenerative medicine (incl. stem cells)","3206"
"field","320699","Medical biotechnology not elsewhere classified","3206"
"field","320701","Medical bacteriology","3207"
"field","320702","Medical infection agents (incl. prions)","3207"
"field","320703","Medical mycology","3207"
"field","320704","Medical parasitology","3207"
"field","320705","Medical virology","3207"
"field","320799","Medical microbiology not elsewhere classified","3207"
"field","320801","Cell physiology","3208"
"field","320802","Human biophysics","3208"
"field","320803","Systems physiology","3208"
"field","320899","Medical physiology not elsewhere classified","3208"
"field","320901","Autonomic nervous system","3209"
"field","320902","Cellular nervous system","3209"
"field","320903","Central nervous system","3209"
"field","320904","Computational neuroscience (incl. mathematical neuroscience and theoretical neuroscience)","3209"
"field","320905","Neurology and neuromuscular diseases","3209"
"field","320906","Peripheral nervous system","3209"
"field","320907","Sensory systems","3209"
"field","320999","Neurosciences not elsewhere classified","3209"
"field","321001","Clinical nutrition","3210"
"field","321002","Food properties (incl. characteristics and health benefits)","3210"
"field","321003","Nutrigenomics and personalised nutrition","3210"
"field","321004","Nutritional science","3210"
"field","321005","Public health nutrition","3210"
"field","321006","Sport and exercise nutrition","3210"
"field","321099","Nutrition and dietetics not elsewhere classified","3210"
"field","321101","Cancer cell biology","3211"
"field","321102","Cancer diagnosis","3211"
"field","321103","Cancer genetics","3211"
"field","321104","Cancer therapy (excl. chemotherapy and radiation therapy)","3211"
"field","321105","Chemotherapy","3211"
"field","321106","Haematological tumours","3211"
"field","321107","Liquid biopsies","3211"
"field","321108","Molecular targets","3211"
"field","321109","Predictive and prognostic markers","3211"
"field","321110","Radiation therapy","3211"
"field","321111","Solid tumours","3211"
"field","321199","Oncology and carcinogenesis not elsewhere classified","3211"
"field","321201","Ophthalmology","3212"
"field","321202","Optical technology","3212"
"field","321203","Optometry","3212"
"field","321204","Vision science","3212"
"field","321299","Ophthalmology and optometry not elsewhere classified","3212"
"field","321301","Adolescent health","3213"
"field","321302","Infant and child health","3213"
"field","321303","Neonatology","3213"
"field","321399","Paediatrics not elsewhere classified","3213"
"field","321401","Basic pharmacology","3214"
"field","321402","Clinical pharmacology and therapeutics","3214"
"field","321403","Clinical pharmacy and pharmacy practice","3214"
"field","321404","Pharmaceutical delivery technologies","3214"
"field","321405","Pharmaceutical sciences","3214"
"field","321406","Pharmacogenomics","3214"
"field","321407","Toxicology (incl. clinical toxicology)","3214"
"field","321499","Pharmacology and pharmaceutical sciences not elsewhere classified","3214"
"field","321501","Foetal development and medicine","3215"
"field","321502","Obstetrics and gynaecology","3215"
"field","321503","Reproduction","3215"
"field","321599","Reproductive medicine not elsewhere classified","3215"
"field","329999","Other biomedical and clinical sciences not elsewhere classified","3299"
"field","330101","Architectural computing and visualisation methods","3301"
"field","330102","Architectural design","3301"
"field","330103","Architectural heritage and conservation","3301"
